,mo_class,count_elem,index_process
0,VMGWCR,771,0
1,ServiceToDiameterTableRecord,132,0
2,SCTPConnMgmtProfRecord,6,0
3,SCTPP,233,0
4,UNIT,104867,0
5,SFP,16,0
6,RNPS,78,0
7,RTINST,1993,0
8,PrCallForwarding,5,0
9,PrSipSignallingParam,5,0
10,PCSRV,1,0
11,RNTOfOrigAASubAna,4,0
12,NNSFMGW,17,0
13,NeIdentityData,736,0
14,NokiaCDRFileUtilRatio2ndAlarm,5,0
15,REDRT,265801,0
16,Ipv6TfclassConfig,24,0
17,LDAP,1,0
18,EC,1,0
19,DTMF,61,0
20,HONNR,59,0
21,DPCLPC,12,0
22,ETHMIRRORSET,2,0
23,EventParameters,25,0
24,DIAGNOSTICS,2,0
25,FBB,8,0
26,AnnouncementMappingSet,1671,0
27,HOSTCONF,30,0
28,H248DeviceServerConfiguration,12,0
29,EOSR,3617,0
30,CSCFBPERF,1,0
31,DiagConfigInfo,3,0
32,DiamAppIDParameters,6,0
33,TestingParameters,5,0
34,SourceAddressPolicy,6,0
35,TNL,2657,0
36,Subdestination,3777,0
37,STIASSYSTEM,4,0
38,SET,1224,0
39,SYNC,23032,0
40,SCPOfINAASubAna,5,0
41,Ss7SignallingNetwork,10,0
42,SCCHRGACTV,1,0
43,RTPCONFIG,1,0
44,PM_ScheduleItem,3192,0
45,PcscfProfileTable,6,0
46,ServiceListHttpLoadBalancer,20,0
47,ONLINE,3,0
48,PCPDFSUPPORT,4,0
49,MediaCapabilities,48,0
50,PCOFFSESSION,2,0
51,ImeiStatusCheckFromEir,20,0
52,IBPDFTIMER,1,0
53,GNBCF,1,0
54,IBCAProfileTableRecord,1,0
55,AsnEncodingParameterSet,5,0
56,BTSMED,12,0
57,CallingPartyRoutingCategoryEPC,1181,0
58,CdrFieldMoc,460,0
59,HprSystemSupervision,5,0
60,CTXTPRIOTBL,24,0
61,HprCarrierAccessCodes,5,0
62,ADR6GW,4,0
63,TOP,12578,0
64,Teluri,10,0
65,SpareRecordsTable,6,0
66,SCONEVENT,2,0
67,SRT4,57268,0
68,PCCODECBWL,6,0
69,SCTPProfileTable,6,0
70,O2IFC,612,0
71,PNAPTRTargetURITableRecord,21,0
72,NRCELL,349,0
73,Redundancy,24,0
74,McmCoacAlarmThreshold,24,0
75,LTAC,15021,0
76,NativeLteLocation,347270,0
77,LETGR,610,0
78,Ipngflooding,24,0
79,CERTH,12693,0
80,H248SctpConfig,48,0
81,CLIC,5,0
82,DISCOVERY_R,132,0
83,ASSP,949,0
84,DESTSY,309,0
85,HttpServer,10,0
86,LOGLINK,85994,0
87,HprOverload,5,0
88,HomingAAAnaRes,20,0
89,ANN,22173,0
90,ADCE,183337,0
91,VisitedNetwork,62,0
92,USD,4,0
93,TOPIK,5,0
94,STNSRTableRecord,6,0
95,SCTPCONF,14,0
96,SRS,6179,0
97,TDPOfINAASubAna,10,0
98,ResultsOfDefaultPreANA,78,0
99,PrSubscriberFacilities,5,0
100,POWERGROUP_R,187926,0
101,OrigAAAnaRes,20,0
102,RESIL,12,0
103,NumberModificationParameters,1765,0
104,PCTIMER,1,0
105,MPLANE,5,0
106,LNKSET,43,0
107,IbcfSipiDataDrivenOptionTable,6,0
108,IPNODCFGN,276,0
109,CapacityLicenseKey,6,0
110,AnnouncementParameterSet,20,0
111,HprSipSignallingParam,5,0
112,FeatureLicenseParameters,6,0
113,BGTIMER,1,0
114,DefaultTimerValueSet,3,0
115,A2UT,3442,0
116,GLPRM,1324,0
117,DRX,68459,0
118,CtsSystemParameters,5,0
119,VCEL,73,0
120,SystemParameters,24,0
121,TPATH,17,0
122,SIPStackTimerProfile,6,0
123,SCSYSCONNECT,1,0
124,SIPStackTimerProfileRecord,12,0
125,RR,4385,0
126,PNASC,789,0
127,SyslogEntry,66,0
128,NRDCDPR,131,0
129,LANASSIGN,2,0
130,M3UALSET,123,0
131,LTEM,39748,0
132,IPDCCInterfacesList,128,0
133,EventListenerConfigEntry,6,0
134,DIADSPKMGCERT,3,0
135,FEDSSET,25,0
136,Features,5,0
137,DiameterMDProfileRecord,18,0
138,CADPR,8120,0
139,ABDELM,4687,0
140,HUBRTM,2,0
141,CapacityProfileCodecNumber,1008,0
142,GeographicRedundancySettings,20,0
143,ChargingComponent,3928,0
144,DIAMSGSIZLIM,4,0
145,EthernetApplication,24,0
146,ADJW,238893,0
147,GlobalTitleParametersOfInTrSpD,78,0
148,ADJS,1152277,0
149,LNCEL,68477,0
150,WIFICNF,49,0
151,WSMLC,77,0
152,SrvBrkrAAAnaRes,5,0
153,SrvBrkrAASubAna,5,0
154,SS7,58,0
155,SignallingRoute,22,0
156,SshProxy,10,0
157,SDPProfileTable,6,0
158,RegistrationData,84,0
159,RNCM,101,0
160,ProprietaryFileFormatOptions,5,0
161,ONENDS,1,0
162,NBROfOrigAASubAna,82,0
163,MGWC,1006,0
